rtakada/nlp36.txt : rokumura/nlp36.txt
1,13584c1,13583
< の 0.04455795830142775
< 。 0.036280277990481634
< て 0.03328519225736413
< 、 0.0328199362211517
< は 0.031113997421706133
< に 0.030256181604939467
< を 0.0294225978733922
< と 0.026694065077688064
< が 0.02586532776318468
< た 0.019327511170991286
< で 0.018445463269005223
< 「 0.015658773468774534
< 」 0.01562969496651126
< も 0.01201426785177718
< ない 0.011582936734871908
< だ 0.011452083474687165
< し 0.011253380375888106
< から 0.009847919433163063
< ある 0.008374608651823707
< な 0.007817270691777569
< ん 0.007599181924802993
< か 0.007415018077135574
< いる 0.006053174887805445
< 事 0.005849625371962508
< へ 0.005011195223371362
< する 0.004807645707528424
< う 0.004807645707528424
< もの 0.00475433512004575
< です 0.004715563783694715
< 君 0.004715563783694715
< 云う 0.004541092770115054
< 主人 0.004516860684895657
< よう 0.003373106262540104
< ね 0.003310102840969671
< この 0.0031453246614777694
< 御 0.0030823212399073365
< ば 0.002990239316073627
< 人 0.0029175430604154347
< その 0.002791536217274569
< 一 0.0026849150423092208
< そう 0.0026461437059581852
< 何 0.002612218786651029
< なる 0.002573447450299993
< さ 0.0024910583605540423
< よ 0.002466826275334645
< なら 0.002340819432193779
< 吾輩 0.00233112659810602
< い 0.0023165873469743817
< ます 0.0022196590060967925
< じゃ 0.002171194835657998
< … 0.0020984985799998063
< これ 0.0020064166561660963
< 　 0.001991877405034458
< なっ 0.001957952485727302
< それ 0.0018464848937180742
< 来 0.0017640958039721235
< れ 0.0017253244676210878
< 見 0.001696245965357811
< でも 0.0016768602971822932
< 時 0.0016720138801384137
< 迷亭 0.0016623210460506549
< ませ 0.0015993176244802217
< いい 0.0015508534540414271
< 三 0.0015460070369975477
< —— 0.0015460070369975477
< ところ 0.001516928534734271
< まで 0.001516928534734271
< 方 0.0015120821176903916
< 二 0.0014684643642954764
< ず 0.0014490786961199585
< 上 0.0014248466109005613
< まし 0.0014006145256811639
< 寒月 0.0013860752745495255
< 顔 0.0013666896063740078
< ぬ 0.0013424575211546104
< 先生 0.001327918270022972
< 見る 0.0013230718529790926
< 人間 0.0013182254359352132
< だろ 0.001308532601847454
< くらい 0.0013036861848035747
< 僕 0.0012988397677596952
< たら 0.0012697612654964186
< さん 0.0012600684314086595
< なく 0.0012503755973209006
< 気 0.0012116042609698649
< あり 0.0012067578439259854
< 猫 0.001201911426882106
< だけ 0.0011922185927943471
< 出 0.0011873721757504677
< 出来 0.0011825257587065882
< 云っ 0.00116798650757495
< また 0.0011534472564433114
< 中 0.0011340615882677936
< 思っ 0.0011243687541800348
< 十 0.0011195223371361553
< ばかり 0.0011195223371361553
< ごとく 0.0010904438348728785
< あっ 0.0010710581666973607
< どう 0.0010662117496534813
< って 0.0010468260814779633
< 細君 0.001032286830346325
< など 0.0009935154939952893
< 鼻 0.0009644369917320125
< 大 0.0009450513235564947
< 今 0.0009450513235564947
< 者 0.0009402049065126152
< や 0.0009402049065126152
< そんな 0.0009402049065126152
< あの 0.0009159728212932179
< しかし 0.0008965871531177001
< てる 0.0008820479019860617
< より 0.0008772014849421822
